epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8045,1.05264,1.98483,0.996,0.55957,0.5209,0.51414,0.36122,1.49216,1.80049,1.03438,0.07327,0.00027,0.00027
2,20.2331,0.88382,1.27096,0.94051,0.38371,0.43397,0.35989,0.2645,1.27835,2.26831,0.99994,0.0455446,0.000544555,0.000544555
3,28.296,0.848,1.13458,0.92748,0.5541,0.66915,0.59017,0.4205,1.19081,1.3616,0.9882,0.0178136,0.000813566,0.000813566
4,36.2557,0.84117,1.11549,0.92317,0.5316,0.55608,0.49895,0.329,1.31677,1.65168,1.04109,0.0009703,0.0009703,0.0009703
5,44.2194,0.85518,1.0785,0.92187,0.52708,0.74264,0.56555,0.38544,1.33439,1.42761,1.03255,0.0009604,0.0009604,0.0009604
6,52.429,0.85741,1.03255,0.92634,0.52063,0.64267,0.55883,0.38766,1.22432,1.33803,1.02343,0.0009505,0.0009505,0.0009505
7,60.3203,0.81734,0.98826,0.91447,0.50535,0.77422,0.58791,0.41749,1.18933,1.42686,0.99309,0.0009406,0.0009406,0.0009406
8,68.3109,0.80986,0.95112,0.91406,0.55598,0.63236,0.62092,0.44611,1.14033,1.0598,0.96941,0.0009307,0.0009307,0.0009307
9,76.3191,0.79812,0.92842,0.90795,0.48863,0.54821,0.49064,0.34727,1.16773,1.34122,0.98973,0.0009208,0.0009208,0.0009208
10,84.3461,0.7768,0.9279,0.90052,0.64769,0.57075,0.64504,0.45309,1.13102,1.03398,0.97363,0.0009109,0.0009109,0.0009109
11,92.9063,0.78356,0.8812,0.90454,0.51494,0.64422,0.57798,0.40595,1.22268,1.36285,0.98781,0.000901,0.000901,0.000901
12,100.809,0.80645,0.89692,0.90547,0.43904,0.61969,0.46264,0.32075,1.15757,1.30624,0.98134,0.0008911,0.0008911,0.0008911
13,108.506,0.78358,0.90258,0.90139,0.52612,0.68781,0.57557,0.41691,1.1804,1.24575,0.98263,0.0008812,0.0008812,0.0008812
14,116.17,0.77883,0.8635,0.90651,0.40824,0.64239,0.46522,0.33559,1.14858,1.35281,0.97363,0.0008713,0.0008713,0.0008713
15,123.886,0.79342,0.85719,0.8948,0.46184,0.69867,0.49941,0.35975,1.08227,1.41555,0.96368,0.0008614,0.0008614,0.0008614
16,131.61,0.75289,0.82698,0.89194,0.51566,0.71315,0.53831,0.39861,1.09747,1.55514,0.95275,0.0008515,0.0008515,0.0008515
17,139.351,0.73494,0.80262,0.89861,0.65687,0.58492,0.60777,0.42168,1.13593,1.15328,0.96864,0.0008416,0.0008416,0.0008416
18,147.609,0.72884,0.80431,0.89587,0.48993,0.76603,0.59203,0.42178,1.10601,1.21117,0.95676,0.0008317,0.0008317,0.0008317
19,155.56,0.74205,0.77483,0.88616,0.57512,0.56246,0.511,0.35367,1.07055,1.33409,0.94092,0.0008218,0.0008218,0.0008218
20,163.723,0.76328,0.79773,0.89733,0.38376,0.53172,0.37065,0.25555,1.14923,1.74055,0.97198,0.0008119,0.0008119,0.0008119
